"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge"
238 3 1 1 2 28 2 1 1 1 2 59
238 4 2 1 2 15 8 1 1 1 2 59
239 2 1 1 2 30 10 2 1 1 1 31
240 2 1 1 2 17 2 1 2 1 2 59
241 2 2 1 1 64 1 1 1 1 1 65
242 2 1 3 1 10 2 2 2 1 1 42
243 2 1 1 1 71 1 1 2 1 1 69
244 2 1 1 1 25 10 1 1 1 5 23
244 3 2 1 1 25 10 1 1 1 5 23
245 2 2 1 1 72 1 1 1 1 1 76
246 2 2 1 1 46 1 1 1 1 1 48
246 3 1 1 1 20 2 1 1 1 1 48
246 4 1 1 1 16 2 1 1 1 1 48
247 2 2 1 1 70 1 1 1 1 1 72
248 2 2 1 1 60 1 2 1 1 1 66
249 2 2 1 1 31 1 2 1 6 1 32
249 3 1 1 1 1 2 2 1 6 1 32
250 2 2 1 1 36 1 1 1 1 1 35
250 3 2 1 1 8 2 1 1 1 1 35
250 4 2 1 1 5 2 1 1 1 1 35
251 2 2 1 1 66 6 1 2 1 1 58
252 2 2 1 1 19 2 1 2 1 1 55
253 2 2 1 1 75 1 1 1 1 1 83
253 3 1 1 1 54 2 1 1 1 1 83
254 2 2 1 1 51 1 1 1 1 5 54
254 3 2 1 5 21 2 1 1 1 5 54
254 4 2 1 5 21 2 1 1 1 5 54
255 2 1 2 1 81 1 1 2 2 1 82
256 2 2 1 4 74 1 1 1 1 4 61
257 2 1 1 1 43 1 1 2 1 1 45
257 3 1 6 1 5 2 1 2 1 1 45
257 4 1 1 1 4 2 1 2 1 1 45
258 2 1 1 1 38 1 2 2 1 1 24
258 3 1 1 1 6 2 2 2 1 1 24
258 4 1 1 1 2 2 2 2 1 1 24
259 2 2 1 1 52 1 1 1 1 1 58
260 2 1 1 1 36 1 1 2 8 1 40
260 3 2 8 1 8 2 1 2 8 1 40
260 4 2 8 1 1 2 1 2 8 1 40
261 2 2 1 1 31 1 2 1 1 5 30
262 2 1 1 1 46 1 1 2 1 1 44
262 3 1 1 1 18 2 1 2 1 1 44
262 4 2 1 1 15 2 1 2 1 1 44
263 2 2 1 1 30 1 1 1 1 1 30
263 3 2 1 1 4 2 1 1 1 1 30
264 2 2 1 1 48 1 1 1 1 1 51
264 3 2 1 1 16 2 1 1 1 1 51
264 4 2 1 1 14 2 1 1 1 1 51
265 2 1 1 2 49 10 1 1 1 2 51
266 2 1 1 5 23 2 1 2 1 5 39
266 3 2 1 2 20 3 1 2 1 5 39
267 2 2 5 1 64 1 1 1 1 1 66
268 2 2 1 1 55 1 1 1 1 1 54
268 3 1 1 1 11 2 1 1 1 1 54
269 2 2 1 1 63 1 1 1 1 1 65
270 2 2 1 1 50 1 1 1 1 1 60
271 2 1 1 1 61 1 1 2 1 1 57
272 2 1 1 1 40 1 2 2 1 1 40
272 3 2 1 1 4 2 2 2 1 1 40
273 2 2 1 1 25 1 2 1 1 1 23
273 3 2 1 1 4 2 2 1 1 1 23
273 4 2 1 1 1 2 2 1 1 1 23
274 2 2 1 1 49 10 1 2 1 1 53
275 2 1 1 1 3 2 2 1 1 1 24
275 3 2 1 1 23 10 2 1 1 1 24
276 2 2 1 1 56 1 1 1 1 1 55
276 3 2 1 1 15 2 1 1 1 1 55
276 4 1 1 1 13 2 1 1 1 1 55
277 2 1 1 1 56 1 1 2 1 5 54
278 2 2 1 1 63 6 2 1 1 1 60
279 2 1 1 1 26 2 1 2 1 1 52
279 3 1 1 1 15 8 1 2 1 1 52
280 2 2 1 2 22 2 2 2 1 2 52
281 2 2 2 1 59 4 2 2 2 1 39
282 2 2 1 1 79 1 1 1 1 1 87
283 2 1 2 1 45 1 1 2 1 1 44
283 3 2 1 1 4 2 1 2 1 1 44
284 2 2 6 1 36 1 2 1 6 1 43
284 3 1 6 1 5 2 2 1 6 1 43
284 4 2 6 1 3 2 2 1 6 1 43
285 2 2 1 1 57 1 1 1 1 1 59
286 2 2 1 2 33 1 1 1 1 2 40
286 3 2 1 2 12 2 1 1 1 2 40
286 4 1 1 2 10 2 1 1 1 2 40
287 2 1 2 4 55 11 1 2 1 3 66
288 2 1 1 1 30 1 1 2 1 1 23
289 2 1 2 1 41 1 1 2 2 1 52
289 3 1 2 1 21 2 1 2 2 1 52
289 4 2 2 1 9 2 1 2 2 1 52
290 2 2 1 1 24 10 2 1 1 1 24
291 2 2 1 1 43 1 1 1 1 1 44
291 3 1 1 1 4 2 1 1 1 1 44
291 4 2 1 1 1 2 1 1 1 1 44
292 2 1 1 1 75 1 1 2 1 1 70
293 2 2 2 1 50 1 2 1 2 1 59
293 3 2 2 1 7 2 2 1 2 1 59
293 4 1 2 1 7 2 2 1 2 1 59
294 2 1 2 1 46 10 2 2 2 1 28
295 2 2 1 1 8 2 2 2 1 1 33
296 2 2 1 1 50 1 1 1 1 1 58
296 3 2 1 1 18 2 1 1 1 1 58
297 2 2 1 5 37 10 2 1 1 5 38
298 2 1 1 1 11 2 1 2 1 1 50
299 2 2 1 1 53 1 1 1 1 1 50
299 3 2 1 1 15 2 1 1 1 1 50
300 2 2 1 1 64 1 1 1 1 1 66
300 3 1 1 1 30 2 1 1 1 1 66
301 2 1 2 1 59 2 1 2 2 1 81
302 2 2 1 1 74 1 1 1 1 1 72
302 3 2 1 1 54 2 1 1 1 1 72
303 2 1 1 1 46 1 1 2 1 1 40
303 3 2 1 1 7 2 1 2 1 1 40
303 4 2 1 1 7 11 1 2 1 1 40
304 2 1 7 3 29 10 1 2 7 3 30
305 2 2 1 1 67 1 1 1 1 1 66
306 2 2 1 1 86 1 1 1 1 1 86
307 2 2 2 1 55 1 1 1 2 1 70
308 2 2 1 1 34 1 1 1 1 1 39
308 3 2 1 1 16 2 1 1 1 1 39
308 4 2 1 1 13 2 1 1 1 1 39
309 2 2 1 1 63 1 1 1 1 1 66
310 2 1 1 1 65 1 1 2 1 1 65
311 2 1 1 2 22 2 2 2 1 2 50
311 3 1 1 2 15 2 2 2 1 2 50
311 4 1 1 2 12 2 2 2 1 2 50
312 2 2 6 1 51 1 2 1 6 1 52
312 3 2 6 1 24 2 2 1 6 1 52
312 4 2 6 1 19 2 2 1 6 1 52
313 2 2 1 1 53 1 1 1 1 1 63
314 2 1 1 1 53 2 1 2 1 1 78
314 3 1 1 1 50 2 1 2 1 1 78
315 2 2 1 1 59 1 1 1 1 1 60
315 3 1 1 1 28 2 1 1 1 1 60
315 4 1 1 1 23 2 1 1 1 1 60
316 2 1 1 2 23 10 2 2 1 2 21
316 3 2 1 2 21 10 2 2 1 2 21
317 2 2 2 1 42 1 1 1 2 1 49
317 3 2 2 1 16 2 1 1 2 1 49
317 4 2 2 1 10 2 1 1 2 1 49
318 2 1 1 2 55 2 1 2 1 2 94
318 3 1 1 2 52 2 1 2 1 2 94
319 2 2 6 1 32 6 1 2 6 1 28
319 3 2 6 1 29 6 1 2 6 1 28
320 2 2 1 1 75 1 1 1 1 1 84
321 2 2 1 1 43 1 1 1 1 1 47
321 3 2 1 1 15 2 1 1 1 1 47
321 4 1 1 1 12 2 1 1 1 1 47
322 2 2 2 1 40 4 2 1 2 1 20
