"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
239 2 2 1 2 59 2 1 1 1 2 64 1
239 3 1 1 2 33 3 1 1 1 2 64 1
240 2 2 2 1 6 3 2 2 2 1 37 1
240 3 2 2 1 4 3 2 2 2 1 37 1
241 2 1 1 1 57 2 1 2 1 1 54 1
242 2 1 2 1 65 3 1 2 2 1 94 1
242 3 1 2 1 56 3 1 2 2 1 94 1
243 2 2 1 1 69 2 1 1 1 1 71 1
244 2 1 1 1 55 2 2 2 1 1 53 1
244 3 1 1 1 23 3 2 2 1 1 53 1
245 2 2 1 1 14 3 1 2 1 1 49 1
245 3 2 1 1 13 3 1 2 1 1 49 1
246 2 2 1 1 63 2 1 1 1 1 64 1
247 2 2 1 1 69 2 1 1 1 1 69 1
248 2 1 1 1 72 2 1 2 1 1 71 1
248 3 1 1 1 39 3 1 2 1 1 71 1
249 2 2 1 2 40 11 2 1 1 2 32 1
250 2 2 1 1 81 11 2 1 1 1 78 1
251 2 1 1 1 57 2 1 2 1 1 54 1
252 2 2 6 1 56 2 1 1 1 1 53 1
252 3 2 1 1 95 5 1 1 1 1 53 1
253 2 1 1 1 86 2 2 2 1 1 87 1
254 2 2 2 1 95 5 1 2 2 1 71 1
255 2 2 2 1 40 2 2 1 2 1 35 1
255 3 1 2 1 20 3 2 1 2 1 35 1
256 2 1 1 1 56 2 1 2 1 1 55 1
257 2 1 1 1 67 2 1 2 3 1 66 1
258 2 2 4 1 25 2 2 1 4 1 25 1
259 2 2 1 1 66 2 1 1 1 1 71 1
260 2 2 1 5 59 2 1 1 1 5 60 1
261 2 2 1 2 27 2 1 1 1 1 31 1
261 3 2 1 1 3 3 1 1 1 1 31 1
262 2 2 1 1 72 2 1 1 1 1 77 1
263 2 2 1 1 58 2 1 1 1 1 54 1
264 2 2 1 1 55 2 1 1 1 1 58 1
265 2 1 1 1 62 2 1 2 1 1 57 1
266 2 2 1 1 51 11 1 2 1 1 42 1
267 2 2 1 1 55 2 1 1 1 1 58 1
268 2 2 1 1 54 2 1 1 1 1 52 1
269 2 1 1 1 68 2 1 2 1 1 66 1
270 2 2 1 1 38 2 1 1 1 1 38 1
271 2 1 2 1 45 2 1 2 2 1 45 1
272 2 2 1 1 22 11 2 2 1 1 25 1
273 2 1 6 1 59 11 2 1 1 1 59 1
274 2 1 6 1 14 3 1 1 1 1 51 1
274 3 2 6 1 9 3 1 1 1 1 51 1
275 2 2 1 1 47 2 1 1 1 1 50 1
276 2 2 2 1 55 2 1 1 2 1 56 1
277 2 2 1 1 46 2 2 1 1 1 47 1
278 2 1 1 1 66 2 1 2 1 1 59 1
279 2 1 1 2 53 2 1 2 1 1 56 1
279 3 2 1 2 16 3 1 2 1 1 56 1
280 2 1 1 1 17 3 1 2 1 1 46 1
280 3 2 1 1 14 3 1 2 1 1 46 1
281 2 2 1 1 41 2 1 1 1 1 54 1
281 3 2 1 1 14 3 1 1 1 1 54 1
282 2 2 1 1 30 11 1 1 1 1 30 1
283 2 1 1 1 23 3 1 1 1 1 52 1
284 2 2 1 1 84 2 1 1 1 1 94 1
285 2 2 1 1 44 2 1 1 1 1 46 1
286 2 2 1 1 30 2 1 1 1 1 31 1
287 2 2 1 1 27 2 2 1 1 1 31 1
287 3 1 1 1 1 3 2 1 1 1 31 1
288 2 1 1 2 63 2 1 2 1 2 60 1
289 2 1 1 1 72 2 1 2 1 1 67 1
290 2 1 1 1 64 2 1 2 1 1 60 1
291 2 2 1 1 54 2 1 1 1 1 60 1
292 2 2 1 1 29 2 1 1 1 1 30 1
292 3 1 1 1 4 3 1 1 1 1 30 1
293 2 2 4 1 58 5 2 1 4 1 22 1
293 3 1 4 1 59 10 2 1 4 1 22 1
294 2 2 1 1 43 11 2 1 1 1 41 1
294 3 2 1 1 15 12 2 1 1 1 41 1
295 2 2 1 1 33 2 1 1 1 1 36 1
295 3 2 1 1 4 3 1 1 1 1 36 1
296 2 1 1 1 58 2 1 2 1 1 57 1
297 2 2 1 1 52 2 2 1 1 1 53 1
297 3 1 1 1 12 3 2 1 1 1 53 1
298 2 1 1 1 35 2 2 2 1 1 29 1
298 3 1 1 1 2 3 2 2 1 1 29 1
299 2 1 1 1 59 2 2 2 1 1 56 1
299 3 2 1 1 18 3 2 2 1 1 56 1
300 2 2 1 1 77 2 1 1 1 1 78 1
301 2 2 1 1 42 2 1 1 1 1 62 1
301 3 2 1 1 19 3 1 1 1 1 62 1
302 2 2 1 1 66 11 1 2 1 1 67 1
303 2 1 1 1 71 2 1 2 1 1 69 1
304 2 2 1 1 60 11 1 2 1 1 57 1
305 2 2 1 1 58 2 1 1 1 1 58 1
306 2 1 1 1 36 11 2 2 1 2 48 1
307 2 2 1 1 66 2 1 1 1 1 62 1
308 2 2 6 1 65 2 1 1 6 1 66 1
309 2 1 1 1 26 11 2 2 1 1 27 1
310 2 2 9 1 39 11 1 2 1 1 39 1
311 2 2 1 1 47 2 1 1 1 1 51 1
311 3 1 1 1 16 3 1 1 1 1 51 1
312 2 2 1 1 63 2 1 1 1 1 68 1
313 2 2 1 1 57 2 1 1 1 1 54 1
314 2 1 1 2 21 3 1 2 1 2 50 1
314 3 1 1 2 16 3 1 2 1 2 50 1
315 2 2 8 1 67 2 1 1 8 1 70 1
315 3 1 8 1 44 12 1 1 8 1 70 1
316 2 2 1 1 52 2 1 1 1 1 50 1
317 2 2 1 1 59 2 1 1 1 1 62 1
318 2 2 1 1 73 2 1 1 1 1 79 1
319 2 2 1 1 13 3 1 2 1 1 45 1
320 2 1 1 1 54 3 1 2 1 1 69 1
320 3 1 1 1 32 9 1 2 1 1 69 1
321 2 2 1 1 12 3 1 2 1 1 47 1
322 2 2 4 1 30 2 2 1 4 1 30 1
323 2 2 1 1 71 2 1 1 1 1 74 1
324 2 1 1 1 15 3 1 1 1 1 47 1
325 2 1 1 1 37 12 1 1 1 1 65 1
326 2 1 2 1 67 2 1 2 2 1 64 1
326 3 1 2 1 33 3 1 2 2 1 64 1
327 2 1 1 4 45 12 2 1 1 4 60 1
328 2 1 1 1 44 2 1 2 1 1 48 1
328 3 1 1 1 16 3 1 2 1 1 48 1
329 2 2 1 2 28 11 1 1 1 1 33 1
330 2 2 1 1 41 2 1 1 1 1 49 1
330 3 2 1 1 22 3 1 1 1 1 49 1
331 2 1 1 1 66 2 1 2 1 1 63 1
332 2 2 1 1 48 11 1 1 1 1 43 1
333 2 1 1 1 66 2 1 2 1 1 64 1
334 2 1 1 1 51 2 1 2 1 1 51 1
335 2 2 1 1 73 2 1 1 1 1 74 1
336 2 1 1 1 65 2 1 2 1 1 60 1
337 2 1 1 1 7 3 1 2 1 1 38 1
337 3 1 1 1 3 3 1 2 1 1 38 1
338 2 1 1 1 30 3 1 1 1 1 56 1
338 3 2 1 1 62 10 1 1 1 1 56 1
339 2 2 1 1 52 2 1 1 1 1 53 1
339 3 1 1 1 29 3 1 1 1 1 53 1
340 2 2 1 1 68 2 1 1 1 1 69 1
340 3 1 1 1 33 3 1 1 1 1 69 1
341 2 2 1 1 55 2 1 1 8 1 59 1
341 3 1 8 1 21 3 1 1 8 1 59 1
