"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
245 2 2 6 1 36 2 2 1 6 1 39 1
245 3 1 6 1 11 3 2 1 6 1 39 1
246 2 1 1 1 41 2 1 2 1 1 37 1
246 3 1 1 1 12 3 1 2 1 1 37 1
246 4 2 1 1 7 3 1 2 1 1 37 1
247 2 2 1 1 67 11 1 1 1 1 57 1
248 2 1 2 1 33 3 2 2 2 1 76 1
249 2 2 2 1 7 9 1 2 2 1 84 1
250 2 2 7 2 25 2 2 1 7 2 32 1
251 2 2 1 1 12 3 1 2 1 1 37 1
251 3 2 1 1 8 3 1 2 1 1 37 1
252 2 2 1 3 50 2 1 1 1 3 44 1
252 3 2 1 3 20 3 1 1 1 3 44 1
252 4 1 1 3 20 3 1 1 1 3 44 1
253 2 1 1 1 60 2 1 2 1 1 56 1
254 2 2 1 5 73 2 1 1 1 5 75 1
255 2 1 2 1 66 2 2 2 2 1 61 1
256 2 1 1 1 85 2 2 2 1 1 93 1
257 2 1 7 5 6 3 1 2 7 5 37 1
257 3 2 7 5 65 5 1 2 7 5 37 1
257 4 1 7 5 47 11 1 2 7 5 37 1
258 2 1 1 1 72 2 1 2 1 1 68 1
259 2 1 1 1 20 3 1 2 1 1 49 1
259 3 1 1 1 14 3 1 2 1 1 49 1
260 2 1 1 1 56 3 1 2 1 1 84 1
260 3 2 1 1 57 4 1 2 1 1 84 1
260 4 2 1 1 18 12 1 2 1 1 84 1
261 2 2 1 2 68 2 1 1 1 2 74 1
261 3 1 1 2 30 3 1 1 1 2 74 1
261 4 1 1 2 72 10 1 1 1 2 74 1
262 2 2 1 1 33 2 1 1 1 1 33 1
262 3 1 1 1 4 3 1 1 1 1 33 1
262 4 1 1 1 1 3 1 1 1 1 33 1
263 2 1 1 1 52 2 1 2 1 1 52 1
263 3 2 1 1 23 3 1 2 1 1 52 1
263 4 2 1 1 2 9 1 2 1 1 52 1
264 2 2 6 1 36 2 1 1 6 1 39 1
264 3 1 6 1 10 3 1 1 6 1 39 1
265 2 2 6 1 33 2 2 1 6 1 34 1
266 2 2 1 1 67 2 1 1 1 1 69 1
267 2 2 1 1 76 2 2 1 1 1 84 1
267 3 1 1 1 46 3 2 1 1 1 84 1
268 2 2 1 1 13 3 2 2 1 1 46 1
269 2 2 1 1 58 2 1 1 1 1 59 1
269 3 1 1 1 26 3 1 1 1 1 59 1
270 2 2 1 1 87 5 1 1 1 1 69 1
271 2 1 1 1 58 2 1 2 1 1 55 1
271 3 1 1 1 25 3 1 2 1 1 55 1
272 2 1 1 1 11 3 1 1 1 1 42 1
272 3 2 1 1 8 3 1 1 1 1 42 1
273 2 2 2 1 19 3 1 2 2 1 45 1
274 2 1 1 1 80 2 1 2 1 1 82 1
275 2 1 1 1 43 2 1 2 1 1 36 1
275 3 2 1 1 1 3 1 2 1 1 36 1
276 2 2 1 1 66 2 1 1 1 1 65 1
277 2 2 7 2 52 2 2 1 7 2 50 1
277 3 2 7 2 18 3 2 1 7 2 50 1
278 2 1 1 1 59 2 1 2 1 1 66 1
279 2 2 1 1 53 2 1 1 1 1 55 1
280 2 1 1 1 61 7 1 2 1 1 65 1
281 2 1 1 1 77 2 1 2 2 1 63 1
282 2 2 1 1 46 2 1 1 1 1 79 1
283 2 2 6 1 59 2 1 1 6 1 62 1
283 3 1 6 1 34 3 1 1 6 1 62 1
284 2 1 1 1 41 2 1 2 1 1 39 1
284 3 1 1 1 15 3 1 2 1 1 39 1
285 2 1 7 2 13 3 2 2 1 2 35 1
285 3 2 7 2 8 3 2 2 1 2 35 1
286 2 2 1 1 12 3 2 1 1 1 37 1
286 3 2 1 1 7 3 2 1 1 1 37 1
286 4 1 1 1 6 3 2 1 1 1 37 1
287 2 1 1 1 1 3 2 1 1 1 25 1
287 3 2 1 1 26 11 2 1 1 1 25 1
288 2 2 1 1 51 2 2 1 1 1 57 1
289 2 2 1 1 69 2 1 1 1 1 64 1
290 2 2 1 2 13 9 2 2 1 2 70 1
290 3 1 1 2 88 11 2 2 1 2 70 1
291 2 1 1 2 50 11 2 1 1 2 55 1
292 2 2 1 1 63 2 1 1 1 1 64 1
293 2 2 1 3 34 2 2 1 1 3 42 1
293 3 1 1 3 8 3 2 1 1 3 42 1
293 4 2 1 3 6 3 2 1 1 3 42 1
294 2 2 1 1 69 2 1 1 1 1 73 1
295 2 2 1 1 53 2 1 1 1 1 52 1
295 3 2 1 1 20 3 1 1 1 1 52 1
296 2 1 1 1 63 2 1 2 1 1 63 1
297 2 2 1 1 55 2 1 1 1 1 54 1
297 3 1 1 1 27 3 1 1 1 1 54 1
297 4 2 1 1 21 3 1 1 1 1 54 1
298 2 2 1 1 48 2 1 1 1 1 43 1
299 2 2 1 1 62 7 1 1 1 1 44 1
300 2 1 7 2 19 7 2 1 7 2 23 1
301 2 2 1 1 38 11 1 1 1 1 47 1
302 2 2 1 5 34 7 1 2 1 5 31 1
303 2 2 1 1 42 2 1 1 1 1 42 1
303 3 1 1 1 9 3 1 1 1 1 42 1
303 4 1 1 1 5 3 1 1 1 1 42 1
304 2 1 1 5 45 2 1 2 1 1 52 1
305 2 2 2 1 19 3 2 2 2 1 41 1
305 3 1 2 1 6 3 2 2 2 1 41 1
305 4 1 2 1 40 12 2 2 2 1 41 1
306 2 2 1 1 49 2 1 1 1 1 49 1
306 3 2 1 1 16 3 1 1 1 1 49 1
307 2 1 2 1 21 7 2 2 8 2 24 1
308 2 2 1 2 26 2 2 1 1 2 26 1
308 3 2 1 2 8 3 2 1 1 2 26 1
308 4 1 1 2 5 3 2 1 1 2 26 1
309 2 1 1 1 59 2 2 2 1 1 59 1
309 3 2 1 1 22 3 2 2 1 1 59 1
310 2 2 1 1 42 2 1 1 1 1 50 1
310 3 2 1 1 18 3 1 1 1 1 50 1
310 4 1 1 1 14 3 1 1 1 1 50 1
311 2 2 1 1 30 2 1 1 1 1 29 1
312 2 1 1 1 57 2 1 2 1 1 48 1
313 2 2 1 1 52 2 1 1 1 1 59 1
313 3 2 1 1 22 3 1 1 1 1 59 1
314 2 1 2 1 13 3 2 2 2 1 40 1
314 3 2 2 1 8 3 2 2 2 1 40 1
315 2 2 1 1 57 2 1 1 1 1 59 1
316 2 2 1 1 66 2 1 1 1 1 67 1
317 2 1 1 1 70 2 1 2 1 1 69 1
318 2 1 1 1 88 2 1 2 1 1 79 1
319 2 2 1 1 64 2 1 1 1 1 64 1
320 2 1 2 1 22 3 2 2 2 1 54 1
321 2 2 1 1 53 2 1 1 1 2 55 1
322 2 2 1 1 51 2 2 1 1 1 52 1
322 3 2 1 1 16 3 2 1 1 1 52 1
323 2 1 1 1 59 2 1 2 1 1 55 1
324 2 2 1 1 57 2 1 1 1 1 57 1
325 2 1 2 1 69 2 1 2 2 1 68 1
325 3 1 2 1 32 3 1 2 2 1 68 1
326 2 1 2 1 22 4 1 1 2 1 60 1
