"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner"
187 2 1 1 2 39 11 2
187 3 1 1 2 34 11 2
187 4 1 1 2 30 11 2
188 1 1 1 1 44 1 1
188 2 1 1 1 14 3 1
189 1 1 1 1 76 1 1
189 2 2 1 1 72 2 1
189 3 1 1 1 53 3 1
189 4 1 1 1 21 9 1
190 1 1 6 1 47 1 2
190 2 2 6 1 43 2 2
190 3 2 6 1 19 3 2
190 4 1 6 1 15 3 2
191 1 1 1 1 66 1 1
191 2 2 1 1 63 2 1
192 1 1 1 1 35 1 1
192 2 2 2 1 30 2 1
192 3 2 8 1 3 3 1
192 4 1 8 1 8 3 1
193 1 2 2 1 34 1 2
193 2 2 2 1 14 3 2
193 3 2 2 1 2 3 2
193 4 2 2 1 20 3 2
193 5 2 2 1 56 5 2
194 1 1 1 1 82 1 1
194 2 2 1 1 80 2 1
195 1 1 1 1 52 1 1
195 2 2 1 1 48 2 1
195 3 2 1 1 25 3 1
195 4 2 1 1 21 3 1
195 5 1 1 1 17 3 1
195 6 2 1 1 2 9 1
196 1 2 1 2 35 1 2
196 2 2 1 2 12 3 2
196 3 2 1 2 10 3 2
196 4 1 1 2 77 5 2
196 5 2 1 2 70 5 2
197 1 2 2 1 43 1 2
197 2 1 3 2 46 2 2
197 3 2 8 2 12 3 2
198 1 2 2 1 84 1 1
198 2 1 2 1 51 3 1
199 1 1 1 1 52 1 1
199 2 2 1 1 52 2 1
200 1 2 1 1 50 1 1
200 2 1 1 1 57 2 1
200 3 1 1 1 23 3 1
200 4 2 1 1 19 3 1
201 1 1 2 1 64 1 1
201 2 2 2 1 46 11 1
202 1 2 1 1 22 1 2
202 2 1 1 1 25 2 2
202 3 2 1 1 1 3 2
203 1 1 1 1 85 1 1
203 2 2 1 1 77 2 1
204 1 2 1 1 64 1 1
204 2 1 1 1 70 2 1
205 1 2 6 1 46 1 1
205 2 1 6 1 46 2 1
205 3 2 6 1 18 3 1
205 4 1 6 1 14 3 1
206 1 1 1 1 56 1 1
206 2 2 1 1 53 2 1
207 1 2 1 1 70 1 1
207 2 1 1 1 76 2 1
208 1 2 1 1 46 1 1
208 2 1 1 1 50 2 1
209 1 1 1 1 73 1 1
209 2 2 1 1 68 2 1
210 1 1 1 5 23 1 1
210 2 1 1 1 25 11 1
210 3 2 1 1 25 11 1
211 1 1 1 1 43 1 1
211 2 2 1 1 44 2 1
211 3 1 1 1 17 3 1
211 4 2 1 1 14 3 1
211 5 1 1 1 8 3 1
212 1 1 2 1 45 1 1
212 2 1 2 1 47 7 1
212 3 1 2 1 16 10 1
213 1 2 1 1 36 1 1
213 2 2 1 2 8 3 1
214 1 1 1 1 51 1 1
214 2 2 1 2 42 2 1
214 3 2 1 2 14 3 1
214 4 1 1 2 11 3 1
215 1 1 6 1 37 1 1
215 2 2 4 1 42 2 1
216 1 2 1 1 44 1 2
216 2 1 1 1 40 2 2
217 1 1 1 1 66 1 1
217 2 2 1 1 60 2 1
218 1 1 1 1 33 1 1
218 2 2 1 1 30 2 1
218 3 1 1 1 10 3 1
218 4 1 1 1 5 3 1
219 1 2 1 1 74 1 1
219 2 1 1 1 77 2 1
220 1 2 1 1 59 1 1
220 2 2 1 1 24 3 1
220 3 1 2 1 32 12 1
221 1 1 1 1 51 1 1
221 2 2 1 3 56 2 1
222 1 1 1 1 80 1 1
222 2 2 1 1 78 2 1
223 1 1 1 1 29 1 1
223 2 2 1 1 27 2 1
223 3 1 1 1 6 3 1
223 4 1 1 1 3 3 1
223 5 1 1 1 1 3 1
224 1 2 1 1 62 1 1
224 2 1 1 1 75 2 1
225 1 1 1 1 62 1 1
225 2 2 1 1 9 3 1
225 3 2 1 1 4 3 1
226 1 1 6 5 55 1 2
226 2 2 6 5 50 2 2
226 3 2 6 5 25 3 2
226 4 1 6 5 15 3 2
226 5 2 6 5 13 3 2
227 1 1 1 1 55 1 1
227 2 1 1 1 27 3 1
228 1 2 1 1 46 1 1
228 2 2 1 1 30 3 1
228 3 2 1 1 25 3 1
228 4 1 1 1 16 3 1
228 5 2 1 1 3 9 1
229 1 1 1 1 56 1 1
229 2 2 1 1 51 2 1
229 3 1 1 1 23 3 1
230 1 2 6 1 40 1 1
230 2 1 1 1 61 2 1
230 3 2 1 1 14 3 1
230 4 2 1 1 9 3 1
231 1 2 2 4 53 1 1
231 2 2 2 4 31 3 1
231 3 1 2 4 22 3 1
231 4 2 2 4 9 9 1
232 1 1 1 5 30 1 2
232 2 2 1 1 31 2 2
233 1 2 1 1 46 1 2
233 2 2 1 1 25 3 2
233 3 1 1 1 51 11 2
234 1 2 6 1 41 1 1
234 2 1 6 1 37 2 1
235 1 2 8 1 25 1 2
235 2 1 8 1 21 7 2
235 3 1 1 1 58 5 2
235 4 2 1 1 22 11 2
236 1 1 7 5 33 1 2
236 2 2 7 5 27 2 2
237 1 1 1 1 44 1 1
237 2 2 1 1 44 2 1
237 3 2 1 1 20 3 1
237 4 2 1 1 18 3 1
237 5 1 1 1 14 3 1
238 1 1 1 1 79 1 1
238 2 2 1 1 68 2 1
239 1 1 1 1 39 1 2
239 2 2 1 1 37 11 2
239 3 1 1 1 6 12 2
240 1 2 1 1 41 1 1
240 2 1 1 1 42 2 1
240 3 1 1 1 15 3 1
241 1 1 1 1 57 1 1
241 2 2 1 1 53 2 1
241 3 1 1 1 22 3 1
242 1 1 1 3 37 1 2
242 2 2 1 3 38 2 2
242 3 1 1 3 4 3 2
242 4 2 1 3 1 3 2
242 5 1 1 3 17 3 2
242 6 1 1 3 10 3 2
243 1 2 1 1 51 1 1
243 2 1 2 1 42 11 1
244 1 1 1 1 74 1 1
244 2 2 1 1 76 2 1
245 1 1 1 1 69 1 2
245 2 1 1 1 40 3 2
246 1 2 1 1 85 1 1
246 2 2 1 1 62 3 1
247 1 2 2 1 33 1 2
247 2 2 2 1 16 3 2
247 3 2 2 1 13 3 2
247 4 2 2 1 7 3 2
247 5 1 2 1 4 3 2
247 6 1 2 1 36 11 2
248 1 1 1 1 75 1 1
248 2 2 1 1 72 2 1
249 1 1 1 1 61 1 1
249 2 2 1 1 56 11 1
250 1 2 1 1 45 1 2
250 2 1 1 1 48 2 2
250 3 1 1 1 22 3 2
250 4 2 1 1 18 3 2
250 5 1 1 1 23 3 2
251 1 2 1 1 38 1 1
251 2 1 1 1 40 2 1
251 3 2 1 1 18 3 1
251 4 2 1 1 13 3 1
251 5 2 1 1 13 3 1
251 6 1 1 1 10 3 1
252 1 1 1 1 78 1 1
252 2 2 3 1 75 2 1
253 1 1 1 1 38 1 1
253 2 1 1 1 62 5 1
253 3 2 1 1 61 5 1
253 4 1 1 1 2 9 1
253 5 2 1 1 2 9 1
254 1 1 2 1 60 1 2
254 2 2 2 1 58 2 2
254 3 1 2 1 36 3 2
255 1 1 1 1 63 1 1
255 2 2 1 2 41 2 1
256 1 1 1 1 60 1 1
256 2 2 1 1 63 2 1
257 1 2 1 5 65 1 2
