"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
229 2 2 1 2 21 3 2 2 1 2 40
230 2 2 1 1 23 3 1 2 1 1 46
230 3 1 1 1 21 3 1 2 1 1 46
230 4 2 1 1 21 3 1 2 1 1 46
230 5 2 1 1 16 3 1 2 1 1 46
230 6 1 1 1 65 12 1 2 1 1 46
231 2 2 1 1 25 3 1 2 1 1 57
232 2 1 1 1 48 2 2 2 1 1 49
232 3 2 1 1 6 3 2 2 1 1 49
233 2 2 1 1 49 2 1 1 1 1 41
233 3 2 1 1 19 3 1 1 1 1 41
233 4 2 1 1 16 3 1 1 1 1 41
234 2 2 1 1 25 2 1 1 1 1 26
235 2 2 1 1 59 2 1 1 1 1 61
235 3 2 1 1 16 8 1 1 1 1 61
236 2 1 2 1 5 3 2 1 2 1 46
236 3 2 2 1 46 12 2 1 2 1 46
237 2 2 1 1 46 2 1 1 8 1 52
238 2 1 2 1 79 2 1 2 2 1 76
239 2 1 1 1 14 3 2 2 1 1 34
239 3 1 1 1 10 3 2 2 1 1 34
239 4 1 1 1 5 3 2 2 1 1 34
239 5 1 1 1 39 12 2 2 1 1 34
239 6 1 1 1 16 13 2 2 1 1 34
240 2 1 1 1 51 3 1 2 1 1 90
241 2 2 7 5 47 2 1 1 7 5 46
241 3 1 7 5 23 3 1 1 7 5 46
241 4 2 7 5 16 3 1 1 7 5 46
242 2 2 1 1 65 2 1 1 1 1 68
243 2 1 2 1 10 3 2 2 2 1 45
244 2 1 1 1 43 2 1 2 1 1 38
244 3 2 1 1 9 3 1 2 1 1 38
245 2 1 2 5 45 2 1 2 1 3 43
245 3 2 7 3 16 3 1 2 1 3 43
246 2 1 6 1 45 13 1 2 6 1 62
247 2 2 1 1 23 3 2 2 1 1 43
247 3 2 1 1 7 3 2 2 1 1 43
247 4 1 1 1 4 3 2 2 1 1 43
248 2 2 1 1 12 3 2 2 1 1 35
248 3 1 1 1 35 12 2 2 1 1 35
249 2 2 6 1 54 2 2 1 6 1 60
249 3 2 6 1 26 3 2 1 6 1 60
249 4 1 6 1 23 3 2 1 6 1 60
250 2 2 1 5 25 2 1 1 1 1 26
250 3 2 1 5 1 3 1 1 1 1 26
251 2 2 1 1 20 3 1 2 1 1 53
251 3 2 1 1 13 3 1 2 1 1 53
252 2 1 1 1 51 12 1 2 1 1 62
253 2 1 1 1 45 2 1 2 1 1 49
253 3 1 1 1 9 3 1 2 1 1 49
253 4 1 1 1 13 5 1 2 1 1 49
254 2 2 4 1 27 2 1 1 4 1 28
255 2 2 8 1 72 2 1 1 1 1 74
255 3 2 9 1 49 3 1 1 1 1 74
256 2 2 1 5 48 2 1 1 1 5 52
256 3 1 1 5 17 3 1 1 1 5 52
256 4 1 1 5 14 3 1 1 1 5 52
257 2 1 1 1 55 2 1 2 1 1 52
257 3 2 1 1 19 3 1 2 1 1 52
257 4 1 1 1 16 3 1 2 1 1 52
258 2 2 1 1 46 2 1 1 1 1 49
258 3 1 1 1 16 3 1 1 1 1 49
259 2 2 1 1 42 2 1 1 1 1 48
259 3 2 1 1 22 3 1 1 1 1 48
259 4 1 1 1 19 3 1 1 1 1 48
259 5 1 1 1 16 3 1 1 1 1 48
260 2 1 1 2 19 3 2 1 1 2 52
261 2 1 1 1 33 12 2 1 8 1 32
262 2 2 4 1 35 2 1 1 4 1 47
262 3 2 4 1 11 3 1 1 4 1 47
263 2 1 1 1 58 2 1 2 1 1 62
263 3 2 1 1 24 3 1 2 1 1 62
264 2 2 1 1 45 2 1 1 1 1 47
264 3 1 1 1 19 5 1 1 1 1 47
265 2 2 1 1 65 2 1 1 1 1 70
265 3 2 1 1 46 3 1 1 1 1 70
266 2 2 1 1 44 2 1 1 1 1 41
267 2 2 1 1 46 2 1 1 1 1 48
267 3 1 1 1 21 3 1 1 1 1 48
267 4 2 1 1 16 5 1 1 1 1 48
268 2 2 1 1 45 2 1 1 1 1 50
268 3 2 1 1 22 3 1 1 1 1 50
268 4 2 1 1 18 3 1 1 1 1 50
268 5 2 1 1 2 8 1 1 1 1 50
269 2 2 2 1 24 12 2 2 2 5 21
270 2 2 1 1 17 4 2 2 1 1 54
270 3 2 1 1 13 4 2 2 1 1 54
271 2 1 1 1 44 6 1 2 1 1 58
272 2 1 1 1 66 2 1 2 1 1 63
273 2 1 1 1 45 2 2 2 1 1 43
273 3 2 1 1 11 3 2 2 1 1 43
273 4 2 1 1 8 3 2 2 1 1 43
273 5 1 1 1 5 3 2 2 1 1 43
274 2 2 1 1 45 2 1 1 1 1 47
274 3 2 1 1 17 3 1 1 1 1 47
274 4 2 1 1 10 3 1 1 1 1 47
275 2 2 1 1 69 2 1 1 1 1 79
276 2 2 1 1 55 2 1 1 1 1 48
276 3 2 1 1 22 3 1 1 1 1 48
277 2 2 1 1 61 2 1 1 1 1 65
277 3 2 1 1 16 4 1 1 1 1 65
277 4 1 1 1 14 4 1 1 1 1 65
278 2 2 8 1 26 2 2 1 8 1 27
279 2 2 3 1 7 3 2 2 3 1 34
279 3 2 3 1 4 3 2 2 3 1 34
280 2 1 1 1 58 2 1 2 1 1 51
280 3 1 1 1 21 3 1 2 1 1 51
280 4 1 1 1 20 3 1 2 1 1 51
280 5 1 1 1 18 3 1 2 1 1 51
280 6 2 1 1 69 7 1 2 1 1 51
281 2 2 1 1 56 12 1 1 1 1 52
282 2 1 1 1 58 2 1 2 1 1 58
283 2 2 1 1 57 2 1 1 1 1 67
284 2 1 2 1 28 2 2 2 2 1 23
284 3 2 2 1 2 3 2 2 2 1 23
285 2 1 1 2 9 3 2 2 1 1 37
286 2 2 1 1 61 2 1 1 1 1 64
287 2 2 1 1 20 12 2 1 1 1 19
288 2 2 1 2 38 2 2 1 1 2 42
288 3 2 1 2 11 3 2 1 1 2 42
288 4 2 1 2 9 3 2 1 1 2 42
288 5 1 1 2 4 3 2 1 1 2 42
288 6 2 1 2 14 13 2 1 1 2 42
289 2 1 2 1 14 3 2 2 2 1 33
289 3 2 2 1 12 3 2 2 2 1 33
290 2 2 1 1 19 12 2 1 1 1 25
291 2 1 8 1 62 12 1 2 1 1 60
292 2 2 1 1 35 12 1 2 1 1 40
293 2 2 1 4 59 2 2 1 1 1 64
294 2 1 8 5 12 3 2 1 1 5 30
294 3 2 8 5 10 3 2 1 1 5 30
294 4 1 8 5 4 3 2 1 1 5 30
294 5 2 8 5 30 12 2 1 1 5 30
295 2 2 1 1 52 2 1 1 1 1 62
296 2 1 1 1 20 3 2 2 1 1 44
297 2 2 1 1 58 2 1 1 1 1 63
297 3 1 1 1 26 3 1 1 1 1 63
297 4 2 1 1 23 3 1 1 1 1 63
298 2 2 1 5 48 2 1 1 1 5 52
298 3 1 1 5 23 3 1 1 1 5 52
298 4 1 1 5 20 3 1 1 1 5 52
299 2 2 1 1 41 2 1 1 1 1 37
299 3 2 8 2 16 4 1 1 1 1 37
300 2 2 8 1 8 3 2 2 1 1 26
