Hhindex,pernum,sex,race,sthn,age,relate,ownership,householdsize
218,3,2,1,1,2,3,1,3
219,1,1,1,1,45,1,1,4
219,2,2,1,1,42,2,1,4
219,3,1,1,1,18,3,1,4
219,4,1,1,1,11,3,1,4
220,1,2,1,1,36,1,2,2
220,2,1,1,1,36,2,2,2
221,1,2,1,1,53,1,1,3
221,2,1,1,1,54,2,1,3
221,3,1,1,1,23,3,1,3
222,1,2,8,2,40,1,2,3
222,2,1,1,1,45,11,2,3
222,3,2,7,1,29,12,2,3
223,1,2,1,1,53,1,1,2
223,2,1,1,1,52,2,1,2
224,1,1,1,1,55,1,1,2
224,2,2,1,1,48,2,1,2
225,1,1,1,1,70,1,1,2
225,2,2,1,1,67,2,1,2
226,1,2,1,1,65,1,1,3
226,2,1,1,1,71,2,1,3
226,3,1,1,1,25,3,1,3
227,1,2,6,1,63,1,1,3
227,2,1,6,1,58,2,1,3
227,3,1,6,1,17,3,1,3
228,1,2,1,1,74,1,1,3
228,2,2,1,1,48,3,1,3
228,3,2,1,1,18,9,1,3
229,1,1,1,1,30,1,1,2
229,2,2,1,3,24,11,1,2
230,1,2,1,1,77,1,1,2
230,2,1,1,1,77,2,1,2
231,1,1,1,2,55,1,1,4
231,2,2,1,2,53,2,1,4
231,3,1,1,2,23,3,1,4
231,4,2,1,2,20,3,1,4
232,1,2,1,1,66,1,1,2
232,2,1,1,1,68,11,1,2
233,1,1,1,2,33,1,2,4
233,2,2,1,2,28,2,2,4
233,3,2,1,2,11,3,2,4
233,4,1,1,2,3,3,2,4
234,1,2,6,1,57,1,2,4
234,2,1,6,1,58,2,2,4
234,3,2,6,1,31,3,2,4
234,4,1,6,1,30,3,2,4
235,1,1,7,3,28,1,2,4
235,2,2,1,2,26,11,2,4
235,3,1,8,2,25,11,2,4
235,4,1,1,2,23,11,2,4
236,1,2,1,1,43,1,1,3
236,2,1,1,1,41,2,1,3
236,3,2,1,1,14,3,1,3
237,1,2,1,1,26,1,1,2
237,2,1,1,1,27,2,1,2
238,1,2,6,1,23,1,2,2
238,2,2,6,1,21,11,2,2
239,1,2,1,2,30,1,2,3
239,2,1,1,2,29,2,2,3
239,3,1,1,2,5,3,2,3
240,1,1,1,1,36,1,2,4
240,2,2,1,1,35,2,2,4
240,3,1,1,1,7,3,2,4
240,4,2,1,1,3,3,2,4
241,1,2,1,1,28,1,2,3
241,2,1,1,1,8,3,2,3
241,3,2,1,1,6,3,2,3
242,1,2,6,1,52,1,2,3
242,2,1,6,1,27,3,2,3
242,3,2,6,1,25,3,2,3
243,1,1,1,1,63,1,1,2
243,2,2,1,1,62,2,1,2
244,1,1,6,1,52,1,1,4
244,2,2,6,1,45,2,1,4
244,3,1,6,1,18,3,1,4
244,4,2,6,1,15,3,1,4
245,1,1,1,1,63,1,1,3
245,2,2,1,1,62,2,1,3
245,3,2,1,1,88,5,1,3
246,1,1,1,1,51,1,1,4
246,2,2,1,1,26,3,1,4
246,3,1,1,1,7,3,1,4
246,4,2,1,1,46,11,1,4
247,1,1,1,1,37,1,1,4
247,2,2,1,1,35,2,1,4
247,3,2,1,1,6,3,1,4
247,4,2,1,1,3,3,1,4
248,1,2,1,1,47,1,1,2
248,2,1,1,1,43,2,1,2
249,1,2,1,1,65,1,1,2
249,2,1,1,1,63,2,1,2
250,1,2,2,1,78,1,1,2
250,2,1,2,1,60,3,1,2
251,1,2,1,1,71,1,1,2
251,2,1,1,1,72,2,1,2
252,1,1,1,1,31,1,2,2
252,2,2,1,1,30,2,2,2
253,1,2,7,2,71,1,1,2
253,2,2,7,2,33,3,1,2
254,1,1,7,5,29,1,2,4
254,2,2,7,5,30,2,2,4
254,3,1,7,5,3,3,2,4
254,4,2,7,5,2,3,2,4
255,1,2,2,1,41,1,2,3
255,2,1,2,1,13,3,2,3
255,3,1,2,1,13,3,2,3
256,1,1,1,1,83,1,1,2
256,2,2,1,1,86,2,1,2
257,1,1,1,2,56,1,1,2
257,2,2,1,2,55,2,1,2
258,1,2,1,1,42,1,1,4
258,2,1,1,1,42,2,1,4
258,3,1,1,1,8,3,1,4
258,4,1,1,1,4,3,1,4
259,1,2,1,1,64,1,1,2
259,2,1,1,1,67,2,1,2
260,1,1,1,1,42,1,1,3
260,2,2,1,1,5,3,1,3
260,3,1,1,1,3,3,1,3
261,1,1,1,2,69,1,2,2
261,2,2,1,2,79,11,2,2
262,1,1,1,1,46,1,1,2
262,2,2,1,1,48,2,1,2
263,1,2,6,1,69,1,1,2
263,2,1,6,1,26,3,1,2
264,1,1,4,1,61,1,1,2
264,2,2,4,1,66,2,1,2
265,1,1,1,1,43,1,1,2
265,2,2,1,1,43,2,1,2
266,1,2,1,1,68,1,1,2
266,2,1,1,1,41,3,1,2
267,1,1,7,2,56,1,1,3
267,2,2,7,2,54,2,1,3
267,3,1,7,2,19,3,1,3
268,1,1,1,1,52,1,2,2
268,2,2,1,1,63,2,2,2
269,1,2,1,1,61,1,1,2
269,2,1,1,1,61,2,1,2
270,1,1,1,1,51,1,1,4
270,2,2,1,1,46,11,1,4
270,3,2,1,1,19,12,1,4
270,4,2,1,1,19,12,1,4
271,1,1,1,1,65,1,1,2
271,2,2,1,1,63,2,1,2
272,1,1,1,1,86,1,1,2
272,2,2,1,1,81,2,1,2
273,1,1,1,1,78,1,1,2
273,2,2,1,1,82,2,1,2
274,1,2,1,1,71,1,1,2
274,2,1,1,1,70,2,1,2
275,1,1,1,1,56,1,1,3
275,2,2,1,1,55,2,1,3
275,3,1,1,1,21,3,1,3
276,1,2,1,1,28,1,1,4
276,2,1,1,1,31,2,1,4
276,3,2,1,1,4,3,1,4
276,4,1,1,1,1,3,1,4
277,1,2,1,1,31,1,1,3
277,2,2,8,1,17,10,1,3
277,3,2,1,1,29,11,1,3
278,1,1,1,5,53,1,1,2
278,2,2,1,5,48,7,1,2
279,1,1,4,1,36,1,1,3
279,2,2,4,1,34,2,1,3
279,3,1,4,1,3,3,1,3
280,1,2,1,1,30,1,1,3
280,2,1,1,1,30,2,1,3
280,3,1,1,1,10,3,1,3
281,1,1,1,1,56,1,1,2
281,2,2,1,1,54,2,1,2
282,1,1,1,1,56,1,1,4
282,2,2,1,1,53,2,1,4
282,3,2,1,1,27,3,1,4
282,4,2,1,1,21,3,1,4
283,1,2,1,1,50,1,1,3
283,2,1,1,1,49,2,1,3
283,3,1,1,1,21,3,1,3
284,1,1,1,5,70,1,1,2
284,2,2,1,2,64,2,1,2
285,1,1,6,1,61,1,2,4
285,2,2,6,1,54,2,2,4
285,3,1,1,2,35,11,2,4
285,4,2,1,2,35,11,2,4
286,1,1,1,1,62,1,1,2
286,2,2,1,2,59,2,1,2
287,1,1,1,2,39,1,2,3
287,2,1,1,2,9,3,2,3
287,3,2,1,2,33,11,2,3
288,1,1,1,2,48,1,1,4
288,2,2,1,2,4,3,1,4
288,3,2,1,2,13,3,1,4
288,4,2,1,2,33,11,1,4
289,1,1,1,1,65,1,1,2
289,2,2,1,1,60,2,1,2
290,1,1,1,5,54,1,1,2
